code_iris,nom_iris,code_commune,nom_commune,code_epci,nom_epci,code_departement,nom_departement,code_region,nom_region,wkt,centroid_lon,centroid_lat
751020601.0,Vivienne 1,75102,Paris 2e Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3369628 48.8689989, 2.3369468 48.8689832, 2.3369468 48.8689022, 2.3367287 48.8689022)",2.336873383891646,48.868918597885376
751020503.0,Gaillon 3,75102,Paris 2e Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3357301 48.8707546, 2.3357542 48.8707505, 2.3359511 48.8707495, 2.3359517 48.8706028)",2.335884671281097,48.87072073346927
751010402.0,Place Vendôme 2,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3247740 48.8681013, 2.3247468 48.8680743, 2.3246890 48.8679671)",2.3247280728893625,48.86803676119709
751010301.0,Palais Royal 1,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3335269 48.8654859, 2.3335040 48.8654556, 2.3335010 48.8654517)",2.3335139647363405,48.86546878876381
751010401.0,Place Vendôme 1,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3299271 48.8654308, 2.3299816 48.8655028, 2.3301506 48.8657357, 2.3300878 48.8657600)",2.330051471369464,48.86560778425393
751010302.0,Palais Royal 2,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3401564 48.8656843, 2.3402727 48.8655479, 2.3402727 48.8655389, 2.3402818 48.8655268, 2.3402834 48.8655248, 2.3402863 48.8655209)",2.3402239829878075,48.86560377057209
751010401.0,Place Vendôme 1,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3300906 48.8657816, 2.3300527 48.8657315, 2.3300497 48.8657276, 2.3300468 48.8657236, 2.3297880 48.8653715)",2.329938972921338,48.86557679425099
751010401.0,Place Vendôme 1,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3259825 48.8671146, 2.3259855 48.8671182, 2.3259888 48.8671221, 2.3259920 48.8671259, 2.3260869 48.8672390, 2.3260896 48.8672570, 2.3262136 48.8674072)",2.3260979544247187,48.86726083143119
751010402.0,Place Vendôme 2,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3260414 48.8694593, 2.3261529 48.8694779, 2.3261590 48.8694789, 2.3261655 48.8694800, 2.3261720 48.8694810, 2.3262050 48.8694863, 2.3262595 48.8694683, 2.3274414 48.8696683, 2.3278544 48.8697382)",2.32694712491298,48.86958757748358
751010303.0,Palais Royal 3,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3352327 48.8632693, 2.3352379 48.8632665, 2.3352431 48.8632638)",2.3352378896689605,48.86326653046353
