id,id_fantoir,numero,rep,nom_voie,code_postal,code_insee,nom_commune,code_insee_ancienne_commune,nom_ancienne_commune,x,y,lon,lat,type_position,alias,nom_ld,libelle_acheminement,nom_afnor,source_position,source_nom_voie,certification_commune,cad_parcelles,building_id,iris_code,has_pv,pv_capacity_kwp,nom_iris,dist_to_bt_line_m
75101_6kk03p_00015,,15,,Rue des Prêtres Saint-Germain l'Auxerrois,75001,75101,Paris 1er Arrondissement,,,651667.94,6862330.34,2.341249,48.859194,parcelle,,,PARIS,RUE PRETRES ST GERMAIN AUXERROIS,commune,commune,1,,75101_6kk03p_00015,751010103.0,False,0.0,Saint-Germain l'Auxerrois 3,1.0128109150401523
75101_6kk03p_00017,,17,,Rue des Prêtres Saint-Germain l'Auxerrois,75001,75101,Paris 1er Arrondissement,,,651659.97,6862333.63,2.34114,48.859223,parcelle,,,PARIS,RUE PRETRES ST GERMAIN AUXERROIS,commune,commune,1,,75101_6kk03p_00017,751010103.0,False,0.0,Saint-Germain l'Auxerrois 3,0.9815657250652908
75101_6kk03p_00019,,19,,Rue des Prêtres Saint-Germain l'Auxerrois,75001,75101,Paris 1er Arrondissement,,,651649.37,6862338.05,2.340995,48.859262,parcelle,,,PARIS,RUE PRETRES ST GERMAIN AUXERROIS,commune,commune,1,,75101_6kk03p_00019,751010103.0,False,0.0,Saint-Germain l'Auxerrois 3,0.6852945708262148
75101_6kk03p_00021,,21,,Rue des Prêtres Saint-Germain l'Auxerrois,75001,75101,Paris 1er Arrondissement,,,651642.7,6862339.11,2.340904,48.859271,parcelle,,,PARIS,RUE PRETRES ST GERMAIN AUXERROIS,commune,commune,1,,75101_6kk03p_00021,751010103.0,True,12.99,Saint-Germain l'Auxerrois 3,0.4077896841334978
75101_r9dk5i_00001,,1,,Voie A/1,75001,75101,Paris 1er Arrondissement,,,650541.52,6863352.43,2.325778,48.8683,parcelle,,,PARIS,VOIE A 1,commune,commune,1,,75101_r9dk5i_00001,751010402.0,False,0.0,Place Vendôme 2,3.517598427002826
75101_r9dk5i_00002,,2,,Voie A/1,75001,75101,Paris 1er Arrondissement,,,650542.16,6863341.97,2.325788,48.868206,parcelle,,,PARIS,VOIE A 1,commune,commune,1,,75101_r9dk5i_00002,751010402.0,False,0.0,Place Vendôme 2,0.1450500786995349
75101_r9dk5i_00003,,3,,Voie A/1,75001,75101,Paris 1er Arrondissement,,,650561.95,6863357.37,2.326056,48.868346,parcelle,,,PARIS,VOIE A 1,commune,commune,1,,75101_r9dk5i_00003,751010402.0,True,2.91,Place Vendôme 2,17.05785768108202
75101_r9dk5i_00004,,4,,Voie A/1,75001,75101,Paris 1er Arrondissement,,,650552.45,6863344.11,2.325928,48.868226,parcelle,,,PARIS,VOIE A 1,commune,commune,1,,75101_r9dk5i_00004,751010402.0,False,0.0,Place Vendôme 2,5.059974846435957
75101_tm0rnz_00001,,1,,Rue Sainte-Opportune,75001,75101,Paris 1er Arrondissement,,,652098.82,6862397.26,2.347114,48.859828,parcelle,,,PARIS,RUE SAINTE OPPORTUNE,commune,commune,1,,75101_tm0rnz_00001,751010201.0,False,0.0,Les Halles 1,2.3127045643558923
75101_tm0rnz_00002,,2,,Rue Sainte-Opportune,75001,75101,Paris 1er Arrondissement,,,652109.56,6862391.28,2.347261,48.859775,parcelle,,,PARIS,RUE SAINTE OPPORTUNE,commune,commune,1,,75101_tm0rnz_00002,751010201.0,False,0.0,Les Halles 1,2.721866142609385
75101_tm0rnz_00003,,3,,Rue Sainte-Opportune,75001,75101,Paris 1er Arrondissement,,,652101.97,6862413.69,2.347155,48.859976,parcelle,,,PARIS,RUE SAINTE OPPORTUNE,commune,commune,1,,75101_tm0rnz_00003,751010201.0,False,0.0,Les Halles 1,2.009646245930813
75101_tm0rnz_00004,,4,,Rue Sainte-Opportune,75001,75101,Paris 1er Arrondissement,,,652116.75,6862417.9,2.347356,48.860015,parcelle,,,PARIS,RUE SAINTE OPPORTUNE,commune,commune,1,,75101_tm0rnz_00004,751010201.0,True,8.87,Les Halles 1,2.314176892519087
75101_tm0rnz_00005,,5,,Rue Sainte-Opportune,75001,75101,Paris 1er Arrondissement,,,652105.19,6862431.01,2.347197,48.860132,parcelle,,,PARIS,RUE SAINTE OPPORTUNE,commune,commune,1,,75101_tm0rnz_00005,751010201.0,False,0.0,Les Halles 1,2.0380701669638497
75101_tm0rnz_00006,,6,,Rue Sainte-Opportune,75001,75101,Paris 1er Arrondissement,,,652118.9,6862429.56,2.347384,48.86012,parcelle,,,PARIS,RUE SAINTE OPPORTUNE,commune,commune,1,,75101_tm0rnz_00006,751010201.0,False,0.0,Les Halles 1,2.18540429287696
75101_8249_00041,75101_8249,41,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652156.07,6862248.56,2.347911,48.858495,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00041,751010101.0,True,9.52,Saint-Germain l'Auxerrois 1,2.666475089032327
75101_8249_00043,75101_8249,43,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652144.16,6862254.44,2.347748,48.858547,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00043,751010101.0,False,0.0,Saint-Germain l'Auxerrois 1,2.84760571031633
75101_8249_00045,75101_8249,45,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652096.67,6862278.18,2.347098,48.858757,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00045,751010101.0,True,11.75,Saint-Germain l'Auxerrois 1,2.4168390506406268
75101_8249_00047,75101_8249,47,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652086.22,6862283.5,2.346955,48.858804,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00047,751010101.0,False,0.0,Saint-Germain l'Auxerrois 1,2.5752945544724537
75101_8249_00049,75101_8249,49,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652075.55,6862288.81,2.346809,48.858851,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00049,751010101.0,True,5.18,Saint-Germain l'Auxerrois 1,2.3850228990306657
75101_8249_00051,75101_8249,51,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652064.66,6862294.24,2.34666,48.858899,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00051,751010101.0,False,0.0,Saint-Germain l'Auxerrois 1,2.2614610641763795
75101_8249_00053,75101_8249,53,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652052.97,6862300.12,2.3465,48.858951,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00053,751010101.0,False,0.0,Saint-Germain l'Auxerrois 1,2.288237912127621
75101_8249_00055,75101_8249,55,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652022.72,6862315.38,2.346086,48.859086,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00055,751010101.0,False,0.0,Saint-Germain l'Auxerrois 1,2.3557392414308724
75101_8249_00057,75101_8249,57,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652008.18,6862322.62,2.345887,48.85915,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00057,751010101.0,False,0.0,Saint-Germain l'Auxerrois 1,2.2340365221393057
75101_8249_00059,75101_8249,59,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651992.1,6862330.76,2.345667,48.859222,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00059,751010101.0,True,5.37,Saint-Germain l'Auxerrois 1,2.16864342957803
75101_8249_00061,75101_8249,61,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651976.98,6862338.22,2.34546,48.859288,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00061,751010101.0,False,0.0,Saint-Germain l'Auxerrois 1,2.135944192458988
75101_8249_00063,75101_8249,63,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651964.19,6862344.66,2.345285,48.859345,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00063,751010101.0,False,0.0,Saint-Germain l'Auxerrois 1,1.8154964500736737
75101_8249_00065,75101_8249,65,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651937.52,6862358.01,2.34492,48.859463,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00065,751010202.0,False,0.0,Les Halles 2,1.7197628024238814
75101_8249_00067,75101_8249,67,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651905.81,6862374.17,2.344486,48.859606,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00067,751010101.0,False,0.0,Saint-Germain l'Auxerrois 1,2.24776279483882
75101_8249_00069,75101_8249,69,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651896.39,6862378.92,2.344357,48.859648,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00069,751010101.0,False,0.0,Saint-Germain l'Auxerrois 1,2.195699424405647
75101_8249_00071,75101_8249,71,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651888.49,6862382.88,2.344249,48.859683,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00071,751010101.0,False,0.0,Saint-Germain l'Auxerrois 1,2.168367794549439
75101_8249_00073,75101_8249,73,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651880.09,6862387.06,2.344134,48.85972,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00073,751010101.0,True,14.47,Saint-Germain l'Auxerrois 1,2.16608935546056
75101_8249_00075,75101_8249,75,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651839.69,6862407.41,2.343581,48.8599,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00075,751010103.0,True,18.25,Saint-Germain l'Auxerrois 3,6.357024105635696
75101_8249_00077,75101_8249,77,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651805.27,6862424.6,2.34311,48.860052,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00077,751010103.0,True,14.77,Saint-Germain l'Auxerrois 3,0.750462772633295
75101_8249_00079,75101_8249,79,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651790.66,6862431.73,2.34291,48.860115,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00079,751010103.0,False,0.0,Saint-Germain l'Auxerrois 3,1.796924366675522
75101_8249_00081,75101_8249,81,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651773.85,6862439.99,2.34268,48.860188,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00081,751010103.0,False,0.0,Saint-Germain l'Auxerrois 3,1.816873181636965
75101_8249_00083,75101_8249,83,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651759.38,6862447.11,2.342482,48.860251,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00083,751010103.0,True,8.98,Saint-Germain l'Auxerrois 3,1.815834695281404
75101_8249_00085,75101_8249,85,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651702.17,6862475.95,2.341699,48.860506,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00085,751010103.0,False,0.0,Saint-Germain l'Auxerrois 3,1.225593977794215
75101_8249_00087,75101_8249,87,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651690.41,6862481.83,2.341538,48.860558,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00087,751010103.0,False,0.0,Saint-Germain l'Auxerrois 3,1.349752955722208
75101_8249_00089,75101_8249,89,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651681.79,6862486.12,2.34142,48.860596,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00089,751010103.0,True,18.4,Saint-Germain l'Auxerrois 3,1.4481500504178255
75101_8249_00091,75101_8249,91,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651664.98,6862494.6,2.34119,48.860671,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00091,751010103.0,False,0.0,Saint-Germain l'Auxerrois 3,1.3262976241890403
75101_8249_00098,75101_8249,98,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652159.95,6862273.21,2.347961,48.858717,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00098,751010201.0,False,0.0,Les Halles 1,1.643481533242356
75101_8249_00100,75101_8249,100,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652151.83,6862277.28,2.34785,48.858753,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00100,751010201.0,False,0.0,Les Halles 1,1.878223726174404
75101_8249_00102,75101_8249,102,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652144.67,6862280.79,2.347752,48.858784,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00102,751010201.0,True,9.15,Les Halles 1,2.005605429814689
75101_8249_00104,75101_8249,104,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652095.57,6862305.55,2.34708,48.859003,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00104,751010202.0,False,0.0,Les Halles 2,1.821538917781056
75101_8249_00106,75101_8249,106,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652086.14,6862310.18,2.346951,48.859044,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00106,751010202.0,False,0.0,Les Halles 2,1.6374297214471132
75101_8249_00108,75101_8249,108,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652078.03,6862314.36,2.34684,48.859081,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00108,751010202.0,True,15.87,Les Halles 2,1.675365026876119
75101_8249_00109,75101_8249,109,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651027.23,6862814.32,2.332461,48.863498,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00109,751010303.0,False,0.0,Palais Royal 3,14.872066821150352
75101_8249_00110,75101_8249,110,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652067.73,6862319.45,2.346699,48.859126,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00110,751010202.0,True,8.5,Les Halles 2,1.582455133694784
75101_8249_00111,75101_8249,111,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651015.46,6862819.31,2.3323,48.863542,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00111,751010303.0,False,0.0,Palais Royal 3,4.048188725437579
75101_8249_00112,75101_8249,112,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652042.89,6862332.0,2.346359,48.859237,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00112,751010202.0,False,0.0,Les Halles 2,2.235591804874604
75101_8249_00113,75101_8249,113,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650952.72,6862852.43,2.331441,48.863835,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00113,751010401.0,False,0.0,Place Vendôme 1,18.72485819367057
75101_8249_00114,75101_8249,114,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652033.24,6862336.86,2.346227,48.85928,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00114,751010202.0,True,6.85,Les Halles 2,2.041043895296552
75101_8249_00115,75101_8249,115,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650928.76,6862864.86,2.331113,48.863945,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00115,751010401.0,False,0.0,Place Vendôme 1,19.43902502645204
75101_8249_00116,75101_8249,116,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652023.38,6862341.84,2.346092,48.859324,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00116,751010202.0,False,0.0,Les Halles 2,1.879620595674006
75101_8249_00117,75101_8249,117,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650904.65,6862876.74,2.330783,48.86405,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00117,751010401.0,False,0.0,Place Vendôme 1,19.8219669151154
75101_8249_00118,75101_8249,118,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652014.03,6862346.48,2.345964,48.859365,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00118,751010202.0,False,0.0,Les Halles 2,5.789133716976525
75101_8249_00119,75101_8249,119,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650881.28,6862888.61,2.330463,48.864155,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00119,751010401.0,False,0.0,Place Vendôme 1,19.88186754221787
75101_8249_00120,75101_8249,120,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,652005.19,6862351.0,2.345843,48.859405,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00120,751010202.0,False,0.0,Les Halles 2,5.349862845358259
75101_8249_00121,75101_8249,121,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650856.65,6862900.61,2.330126,48.864261,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00121,751010401.0,True,13.23,Place Vendôme 1,19.04994297156924
75101_8249_00122,75101_8249,122,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651984.72,6862361.06,2.345563,48.859494,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00122,751010202.0,False,0.0,Les Halles 2,1.7883377079692244
75101_8249_00123,75101_8249,123,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650833.13,6862912.49,2.329804,48.864366,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00123,751010105.0,False,0.0,Tuileries,17.346980679477632
75101_8249_00124,75101_8249,124,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651965.51,6862370.67,2.3453,48.859579,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00124,751010202.0,False,0.0,Les Halles 2,1.922521958784655
75101_8249_00125,75101_8249,125,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650809.39,6862924.36,2.329479,48.864471,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00125,751010105.0,False,0.0,Tuileries,1.123087558567868
75101_8249_00126,75101_8249,126,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651952.87,6862376.89,2.345127,48.859634,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00126,751010202.0,False,0.0,Les Halles 2,1.4117344391822009
